Unnamed: 0,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
1578,MA010120220805470402,카페&스터디공율,,I2,음식,I212,카페,I21201,카페,I56221,커피 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110240015,1,대지,1024.0,15.0,경기도 수원시 영통구 영통동 1024-15,411174331126.0,경기도 수원시 영통구 영일로6번길,50.0,,4111710500110240015000526,경희레스피아,경기도 수원시 영통구 영일로6번길 50,443470,16702,,,,127.078671894443,37.2480039925928
2727,MA010120220805496751,어뉴스토리,,I2,음식,I212,카페,I21201,카페,I56221,커피 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110420003,1,대지,1042.0,3.0,경기도 수원시 영통구 영통동 1042-3,411174331179.0,경기도 수원시 영통구 청명로77번길,11.0,,4111710500110420003001111,,경기도 수원시 영통구 청명로77번길 11,443470,16705,,1.0,,127.078562626168,37.2532745518872
3070,MA010120220805504878,앤티앤스,,I2,음식,I212,카페,I21201,카페,I56221,커피 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500109940002,1,대지,994.0,2.0,경기도 수원시 영통구 영통동 994-2,411173177007.0,경기도 수원시 영통구 봉영로,1576.0,,4111710500109940002001275,영통홈플러스,경기도 수원시 영통구 봉영로 1576,443470,16704,,4.0,,127.072594887193,37.2518042298368
4778,MA010120220805570632,남대감,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110210003,1,대지,1021.0,3.0,경기도 수원시 영통구 영통동 1021-3,411173177003.0,경기도 수원시 영통구 매영로,432.0,,4111710500110210003000402,,경기도 수원시 영통구 매영로 432,443470,16702,,1.0,,127.078643648368,37.2484723427386
4948,MA010120220805610881,슝띠마라탕,,I2,음식,I202,중식,I20202,마라탕/훠궈,I56121,중식 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500109950005,1,대지,995.0,5.0,경기도 수원시 영통구 영통동 995-5,411173177007.0,경기도 수원시 영통구 봉영로,1590.0,,4111710500109950005001226,밀레니엄프라자,경기도 수원시 영통구 봉영로 1590,443470,16704,,1.0,,127.073428429781,37.2527749272534
5278,MA010120220805640764,국수나무,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500109600003,1,대지,960.0,3.0,경기도 수원시 영통구 영통동 960-3,411173177007.0,경기도 수원시 영통구 봉영로,1569.0,,4111710500109600003001220,NEWWORLDPLAZA,경기도 수원시 영통구 봉영로 1569,443470,16703,,1.0,,127.071013695178,37.252053152264
6215,MA010120220805693110,김래하닭갈비,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110400008,1,대지,1040.0,8.0,경기도 수원시 영통구 영통동 1040-8,411174331174.0,경기도 수원시 영통구 청명남로50번길,21.0,1.0,4111710500110400008001078,,경기도 수원시 영통구 청명남로50번길 21-1,443470,16705,,,,127.0776716243,37.2533126694182
6414,MA010120220805725866,과일에반하다프루타,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110210005,1,대지,1021.0,5.0,경기도 수원시 영통구 영통동 1021-5,411174331126.0,경기도 수원시 영통구 영일로6번길,49.0,,4111710500110210005000432,인화빌딩,경기도 수원시 영통구 영일로6번길 49,443470,16702,,1.0,,127.078633913396,37.2483461135518
7425,MA010120220805831114,머내솔밭,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110150004,1,대지,1015.0,4.0,경기도 수원시 영통구 영통동 1015-4,411173177011.0,경기도 수원시 영통구 영일로,16.0,5.0,4111710500110150004000461,,경기도 수원시 영통구 영일로 16-5,443470,16705,,1.0,,127.076347970453,37.2490852246964
9077,MA010120220805927540,유진에프엔비,,I2,음식,I201,한식,I20101,백반/한정식,M71531,경영 컨설팅업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500109980007,1,대지,998.0,7.0,경기도 수원시 영통구 영통동 998-7,411173177013.0,경기도 수원시 영통구 청명남로,25.0,,4111710500109980007000001,,경기도 수원시 영통구 청명남로 25,443470,16704,,9.0,,127.074718004891,37.2524065517879
10272,MA010120220805956406,타이틀보드카페,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110080005,1,대지,1008.0,5.0,경기도 수원시 영통구 영통동 1008-5,411173177005.0,경기도 수원시 영통구 반달로,24.0,,4111710500110080005001231,,경기도 수원시 영통구 반달로 24,443470,16705,,4.0,,127.074753989828,37.2513074968373
10540,MA010120220805999306,경기용인지역자활센터,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500109940002,1,대지,994.0,2.0,경기도 수원시 영통구 영통동 994-2,411173177007.0,경기도 수원시 영통구 봉영로,1576.0,,4111710500109940002001275,영통홈플러스,경기도 수원시 영통구 봉영로 1576,443470,16704,,1.0,,127.072594887193,37.2518042298368
11485,MA010120220806055117,쏘가리매운탕,,I2,음식,I201,한식,I20112,해산물 구이/찜,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110340010,1,대지,1034.0,10.0,경기도 수원시 영통구 영통동 1034-10,411174331181.0,경기도 수원시 영통구 청명북로7번길,7.0,1.0,4111710500110340010001103,,경기도 수원시 영통구 청명북로7번길 7-1,443470,16705,,,,127.078810079624,37.2523934039091
11734,MA010120220806119539,장어명가섬진강,,I2,음식,I201,한식,I20112,해산물 구이/찜,I56114,한식 해산물 요리 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110090006,1,대지,1009.0,6.0,경기도 수원시 영통구 영통동 1009-6,411173177005.0,경기도 수원시 영통구 반달로,21.0,,4111710500110090006001199,매직프라자,경기도 수원시 영통구 반달로 21,443470,16705,,2.0,,127.07503191599,37.2516250516128
12850,MA010120220806282779,인계동패밀리2,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110100009,1,대지,1010.0,9.0,경기도 수원시 영통구 영통동 1010-9,411174331083.0,경기도 수원시 영통구 반달로35번길,19.0,,4111710500110100009000969,대원빌딩,경기도 수원시 영통구 반달로35번길 19,443470,16705,,2.0,,127.076191649834,37.251733226042
13483,MA010120220806296884,해오름,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110240016,1,대지,1024.0,16.0,경기도 수원시 영통구 영통동 1024-16,411174331126.0,경기도 수원시 영통구 영일로6번길,54.0,,4111710500110240016000399,일번지프라자빌딩,경기도 수원시 영통구 영일로6번길 54,443470,16702,,,,127.078897529198,37.2479877260744
14315,MA010120220806360644,부대통령뚝배기,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110240008,1,대지,1024.0,8.0,경기도 수원시 영통구 영통동 1024-8,411173012001.0,경기도 수원시 영통구 덕영대로,1701.0,,4111710500110240008000420,영프라자,경기도 수원시 영통구 덕영대로 1701,443470,16702,,1.0,,127.077342273483,37.2479666067388
14360,MA010120220806360378,노마세야매운갈비찜,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56111,한식 일반 음식점업,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110090002,1,대지,1009.0,2.0,경기도 수원시 영통구 영통동 1009-2,411174331171.0,경기도 수원시 영통구 청명남로28번길,20.0,,4111710500110090002001167,플러스타운빌딩,경기도 수원시 영통구 청명남로28번길 20,443470,16705,,,,127.075924549471,37.2514518022665
14446,MA010120220806353302,청담칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110000004,1,대지,1000.0,4.0,경기도 수원시 영통구 영통동 1000-4,411173177013.0,경기도 수원시 영통구 청명남로,6.0,1.0,4111710500110000004001228,,경기도 수원시 영통구 청명남로 6-1,443470,16705,,1.0,,127.073838129289,37.2506155042257
14755,MA010120220806380996,태평양,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41117,수원시 영통구,41117585,영통3동,4111710500,영통동,4111710500110390006,1,대지,1039.0,6.0,경기도 수원시 영통구 영통동 1039-6,411174331174.0,경기도 수원시 영통구 청명남로50번길,5.0,4.0,4111710500110390006051808,,경기도 수원시 영통구 청명남로50번길 5-4,443470,16705,,,,127.077226648865,37.2537507389942
